382.0,14.0,412.0,14.0,412.0,206.0,382.0,206.0,媒強計日計寬
386.0,248.0,416.0,248.0,416.0,515.0,386.0,515.0,頓󰈝典墨燶𮥷買他
351.0,12.0,381.0,12.0,381.0,203.0,351.0,203.0,域娘𠓨擬𥪞茹
353.0,249.0,384.0,249.0,384.0,513.0,353.0,513.0,馬嬌吏𠼯意𦋦吲𠳒
317.0,13.0,349.0,13.0,349.0,206.0,317.0,206.0,傕陀默吝時催
319.0,248.0,351.0,248.0,351.0,513.0,319.0,513.0,𠫾󰠳𫽄別𡥵𠊛楚卿
284.0,9.0,316.0,9.0,316.0,208.0,284.0,208.0,自情浽㗂楼撑
288.0,248.0,317.0,248.0,317.0,513.0,288.0,513.0,󰜋𢬣墫別󰋇梗芙容
254.0,13.0,282.0,13.0,282.0,204.0,254.0,204.0,拖刀立産斫用
253.0,250.0,285.0,250.0,285.0,511.0,253.0,511.0,𨔍之󰜋骨󰜋童初󰅒
221.0,10.0,252.0,10.0,252.0,205.0,221.0,205.0,固𠀧𤾓两𢭂𢬣
223.0,247.0,251.0,247.0,251.0,514.0,223.0,514.0,空仍之固𠊛尼怒箕
189.0,9.0,220.0,9.0,220.0,205.0,189.0,205.0,耒𦋦呂󰘚卽時
192.0,248.0,221.0,248.0,221.0,515.0,192.0,515.0,扒𠳒呌渚淶之麻𠁀
157.0,12.0,188.0,12.0,188.0,203.0,157.0,203.0,娘浪誓説󰠱𠳒
161.0,249.0,189.0,249.0,189.0,513.0,161.0,513.0,固󰠳麻吏󰑼𠊛險溇
125.0,14.0,156.0,14.0,156.0,205.0,125.0,205.0,群當推𠓀擬𡢐
125.0,247.0,156.0,247.0,156.0,508.0,125.0,508.0,󰘚謨㐌𧡊於󰠳引𠓨
92.0,11.0,123.0,11.0,123.0,203.0,92.0,203.0,楚卿蓮㗂嘹唫
61.0,250.0,91.0,250.0,91.0,509.0,61.0,509.0,喥𦖑娘固𡥵芇於低
93.0,248.0,124.0,248.0,124.0,510.0,93.0,510.0,抛朱眷󰊄𢷀𩄲唉󰏙
60.0,11.0,90.0,11.0,90.0,206.0,60.0,206.0,固別󰘚尼󰑼埃
29.0,11.0,57.0,11.0,57.0,207.0,29.0,207.0,娘浪傕世時催
30.0,249.0,59.0,249.0,59.0,505.0,30.0,505.0,浪空時拱𠳐𠳒浪空
