359.0,13.0,393.0,13.0,393.0,204.0,359.0,204.0,参商𫽄院𫳘從
360.0,215.0,392.0,215.0,392.0,475.0,360.0,475.0,在埃呵敢負𢚸故人
327.0,12.0,357.0,12.0,357.0,202.0,327.0,202.0,錦𤾓卷泊𠦳斤
330.0,213.0,358.0,213.0,358.0,478.0,330.0,478.0,謝𢚸易称報恩噲󰑼
298.0,13.0,326.0,13.0,326.0,206.0,298.0,206.0,㛪払鬼怪精魔
298.0,213.0,329.0,213.0,329.0,477.0,298.0,477.0,畨尼几𠎨󰜏𫅷﨤饒
265.0,13.0,296.0,13.0,296.0,205.0,265.0,205.0,蜆𨁏𠰘󱋓渚𥹰
264.0,212.0,296.0,212.0,296.0,478.0,264.0,478.0,謀溇拱者義溇朱皮
234.0,13.0,263.0,13.0,263.0,204.0,234.0,204.0,束生𬂙󰘚閉𣇞
234.0,211.0,262.0,211.0,262.0,477.0,234.0,477.0,蒲灰払㐌如湄𣿌滛
204.0,14.0,233.0,14.0,233.0,202.0,204.0,202.0,𢚸貞𢜠𢜝坤扲
204.0,212.0,232.0,212.0,232.0,477.0,204.0,477.0,𢜝台麻吏𢜠󰠐朱埃
172.0,11.0,203.0,11.0,203.0,202.0,172.0,202.0,媒𫅷師長次𠄩
170.0,212.0,200.0,212.0,200.0,478.0,170.0,478.0,脱迻且畧倍𠶆蓮𨕭
141.0,12.0,170.0,12.0,170.0,200.0,141.0,200.0,𢴑𢬣𨷑󰘚朱𥚆
139.0,211.0,167.0,211.0,167.0,474.0,139.0,474.0,花箕怒貝濯泉共碎
109.0,12.0,138.0,12.0,138.0,205.0,109.0,205.0,𢖵欺侶𨀈仕潙
108.0,212.0,138.0,212.0,138.0,479.0,108.0,479.0,𡽫鐄渚易填倍𬌓傷
75.0,10.0,105.0,10.0,105.0,207.0,75.0,207.0,𠦳鐄噲𡮍礼常
73.0,214.0,106.0,214.0,106.0,477.0,73.0,477.0,麻𢚸漂母󰋇鐄朱斤
42.0,14.0,72.0,14.0,72.0,203.0,42.0,203.0,𠄩𠊛𬂙󰘚秦銀
41.0,210.0,72.0,210.0,72.0,478.0,41.0,478.0,姅分怯𢜝姅分𢜠𢝙
11.0,10.0,40.0,10.0,40.0,203.0,11.0,203.0,娘浪吀唉󰟱𡓮
10.0,211.0,38.0,211.0,38.0,476.0,10.0,476.0,󰏙朱𤑟󰘚別碎報𫌵
