243.0,74.0,266.0,74.0,266.0,438.0,243.0,438.0,勾取本社及附近各社社長勘實具奏旌賞
213.0,75.0,237.0,75.0,237.0,438.0,213.0,438.0,砌東邉墻定冠帽制令禮部僃榜諸王公侯
184.0,74.0,206.0,74.0,206.0,440.0,184.0,440.0,伯駙馬内外文武百官儒吏軍色民人等照所
153.0,74.0,176.0,74.0,176.0,437.0,153.0,437.0,用冠服制樣遵行構作庫廊及親王公主府
127.0,55.0,148.0,55.0,148.0,134.0,127.0,134.0,辛酉四年
137.0,136.0,149.0,136.0,149.0,193.0,137.0,193.0,明弘治
123.0,136.0,136.0,136.0,136.0,195.0,123.0,195.0,十四年
124.0,196.0,145.0,196.0,145.0,436.0,124.0,436.0,春正月朔幸西京禁扈從官不
95.0,74.0,117.0,74.0,117.0,437.0,95.0,437.0,得使旗軍装載妻子女妓隨行縱情肆欲詔
65.0,73.0,90.0,73.0,90.0,434.0,65.0,434.0,𬋩軍匠官督押公務或有怠惰欠缺應𭛁落
37.0,72.0,59.0,72.0,59.0,436.0,37.0,436.0,告所犯如法懲治不得以大杖手足磚塊木椎
9.0,73.0,33.0,73.0,33.0,437.0,9.0,437.0,親自痛打違者如律治罪以楊直原爲工部
